l,s,n,ωreal,ωimag
0,0,0,0.1104549390801739,-0.10489571705618374
0,0,1,0.08611691827748434,-0.3480524468204372
0,0,2,0.0757419355330204,-0.6010785901043246
0,0,3,0.07041013818995145,-0.8536773177876296
0,0,4,0.06707430435965729,-1.1056318797474642
0,0,5,0.06474172340588336,-1.3571394672499582
0,0,6,0.06299381325698747,-1.6083413709305618
0,0,7,0.06162114742132835,-1.8593268134981404
0,0,8,0.060506261927817585,-2.1101535500605824
0,0,9,0.05957673148186901,-2.36085951052983
0,0,10,0.05878827425392822,-2.611472202293396
1,0,0,0.29293613326728274,-0.09765998891357858
1,0,1,0.264448650604826,-0.30625739155903714
1,0,2,0.22953933492941989,-0.5401334250574585
1,0,3,0.20325838622165918,-0.788297822808399
1,0,4,0.1851090203019039,-1.0407621128466151
1,0,5,0.17207681123900603,-1.2941196982558845
1,0,6,0.16222582930537693,-1.5474398936136746
1,0,7,0.15445705178668956,-1.8004902976216408
1,0,8,0.14812604975283392,-2.053236462949982
1,0,9,0.1428338318932619,-2.3056997875455125
1,0,10,0.13832033412095246,-2.557914625064747
1,1,0,0.248263264178109,-0.0924877179529426
1,1,1,0.21451541956389297,-0.29366764554683983
1,1,2,0.17477356757832654,-0.5251875993975903
1,1,3,0.14617669940067657,-0.7719089240496881
1,1,4,0.1265541460141853,-1.0225502837500076
1,1,5,0.11225279077608646,-1.2739256194348996
1,1,6,0.10121470541014359,-1.5252663333665897
1,1,7,0.09232374785905387,-1.7763992333016718
1,1,8,0.0849349702161423,-2.0273060697002663
1,1,9,0.07864963442007156,-2.2780088127723075
1,1,10,0.07320664543017029,-2.5285372640721264
1,-1,0,0.24826326417810848,-0.09248771795294199
1,-1,1,0.21451541956389059,-0.2936676455468394
1,-1,2,0.17477356757832965,-0.5251875993975904
1,-1,3,0.1461766994006821,-0.7719089240496858
1,-1,4,0.12655414601418394,-1.0225502837500078
1,-1,5,0.11225279077607934,-1.273925619434895
1,-1,6,0.10121470541013627,-1.5252663333665921
1,-1,7,0.09232374785904983,-1.7763992333016745
1,-1,8,0.08493497021615508,-2.0273060697002565
1,-1,9,0.07864963442007951,-2.2780088127723053
1,-1,10,0.0732066454301717,-2.528537264072124
2,0,0,0.48364387221071264,-0.09675877597828755
2,0,1,0.4638505790197651,-0.29560393698796267
2,0,2,0.430544054376576,-0.5085584021542751
2,0,3,0.39386306288863726,-0.7380965847809764
2,0,4,0.36129919188305754,-0.9799215194912165
2,0,5,0.33489953498855923,-1.2284108038539712
2,0,6,0.3138859135721599,-1.4799545050941552
2,0,7,0.2969705077968962,-1.7327607866960122
2,0,8,0.28308646092102985,-1.986009190194094
2,0,9,0.2714628344360378,-2.239331332412853
2,0,10,0.2615574018908086,-2.4925647582327244
2,1,0,0.4575955116298528,-0.09500442581947206
2,1,1,0.43654238575054244,-0.29071014312036325
2,1,2,0.40118673391643295,-0.5015873463416566
2,1,3,0.36259503233152907,-0.7301985142859928
2,1,4,0.32873667113670924,-0.9716093789365833
2,1,5,0.3014929957039623,-1.219715249752533
2,1,6,0.27984491674757284,-1.470793201679596
2,1,7,0.262379087713348,-1.7230715721572296
2,1,8,0.24797876356553517,-1.9757634471550922
2,1,9,0.23585529763762858,-2.2285232471504153
2,1,10,0.22546081829299486,-2.4812013257393404
2,-1,0,0.45759551162985274,-0.0950044258194723
2,-1,1,0.4365423857505436,-0.2907101431203639
2,-1,2,0.401186733916433,-0.5015873463416567
2,-1,3,0.3625950323315296,-0.7301985142859923
2,-1,4,0.3287366711367084,-0.9716093789365831
2,-1,5,0.3014929957039652,-1.2197152497525323
2,-1,6,0.2798449167475749,-1.470793201679595
2,-1,7,0.26237908771334906,-1.7230715721572305
2,-1,8,0.24797876356553758,-1.9757634471550911
2,-1,9,0.23585529763763302,-2.228523247150412
2,-1,10,0.22546081829299822,-2.4812013257393395
2,2,0,0.3736716844180416,-0.08896231568893692
2,2,1,0.34671099687916357,-0.2739148752912355
2,2,2,0.30105345461250616,-0.4782769832230698
2,2,3,0.2515049622264302,-0.7051482024421041
2,2,4,0.2075145798286824,-0.946844890907168
2,2,5,0.16929940306989738,-1.1956080540907508
2,2,6,0.13325234019851476,-1.4479106262097465
2,2,7,0.09282233536257208,-1.7038411718110928
2,2,8,2.0050150020182506e-16,-2.0135205582258835
2,2,9,0.06326335759486712,-2.3026446339834417
2,2,10,0.08259814292708899,-2.8154423471657593
2,-2,0,0.37367168441804177,-0.08896231568893546
2,-2,1,0.34671099687916285,-0.27391487529123504
2,-2,2,0.30105345461250427,-0.47827698322307044
2,-2,3,0.25150496222643026,-0.7051482024421033
2,-2,4,0.2075145798286828,-0.9468448909071687
2,-2,5,0.1692994030698982,-1.1956080540907499
2,-2,6,0.133252340198513,-1.4479106262097563
2,-2,7,0.09282233536257913,-1.703841171811082
2,-2,8,6.136800572166654e-17,-2.0135205582258715
2,-2,9,0.06326335759485903,-2.3026446339834292
2,-2,10,0.08259814292588039,-2.8154423471644074
